,value_1,value_2
2024-12-30 17:43:26.271429,78.66496167617028,72.48852516069263
2024-12-30 17:43:26.271474,46.15028024895705,68.30596950201092
2024-12-30 17:43:26.271485,48.49228737270003,85.01935607176432
2024-12-30 17:43:26.271493,55.55139277148263,19.83895227258089
2024-12-30 17:43:26.271500,27.231133632057723,51.0903876212757
2024-12-30 17:43:26.271509,50.99279584386669,13.149066280906785
2024-12-30 17:43:26.271517,11.434934616321534,20.41624036762233
2024-12-30 17:43:26.271524,44.405155974335194,33.04235586409909
2024-12-30 17:43:26.271532,50.442242603666955,22.772649865037188
2024-12-30 17:43:26.271540,18.11425225620131,71.06403101464434
2024-12-30 17:43:26.271548,89.38914065394053,33.16124971392769
2024-12-30 17:43:26.271558,47.0526058954207,27.5478366606403
2024-12-30 17:43:26.271566,49.69413320186013,32.86391355779623
2024-12-30 17:43:26.271573,28.846331238356893,56.70691723424158
2024-12-30 17:43:26.271582,0.2631388391380107,30.33828710631633
2024-12-30 17:43:26.271590,39.16568548941595,32.16634241530829
2024-12-30 17:43:26.271597,97.23100939955162,86.28649507680825
2024-12-30 17:43:26.271605,98.93131171816458,41.04667603026263
2024-12-30 17:43:26.271613,16.391712420175608,73.60747422305768
2024-12-30 17:43:26.271623,91.83735302931743,25.77708954112793
2024-12-30 17:43:26.271631,10.688363037140114,20.72450417193812
2024-12-30 17:43:26.271639,63.780749927188374,90.83974360408277
2024-12-30 17:43:26.271650,2.332999257906565,1.4183266301430741
2024-12-30 17:43:26.271659,54.92084281560919,53.959699900744404
2024-12-30 17:43:26.271668,46.44638564999628,75.970247915653
2024-12-30 17:43:26.271678,63.671866568090785,5.478338396865268
2024-12-30 17:43:26.271687,65.3892871772682,91.38439645967925
2024-12-30 17:43:26.271697,33.62750476925817,0.6544090860126195
2024-12-30 17:43:26.271706,85.98300040259782,25.81966877262888
2024-12-30 17:43:26.271715,9.691406540141578,60.66202547120078
2024-12-30 17:43:26.271724,79.56702734941491,63.15453720725379
2024-12-30 17:43:26.271736,39.02039975513948,63.59877101044471
2024-12-30 17:43:26.271744,28.87589592808073,27.086937203285867
2024-12-30 17:43:26.271753,80.97436296343547,21.480550314845036
2024-12-30 17:43:26.271764,24.477653895090356,20.10688798879354
2024-12-30 17:43:26.271774,88.26638314076422,65.97184394806341
2024-12-30 17:43:26.271784,45.75652534828172,4.586398100241762
2024-12-30 17:43:26.271799,73.44655516373491,13.074581824005428
2024-12-30 17:43:26.271813,72.49427460682685,72.14856088701563
2024-12-30 17:43:26.271830,85.46291294369543,84.49319734283932
2024-12-30 17:43:26.271843,6.066613532146514,93.83920340235606
2024-12-30 17:43:26.271856,39.76167831326034,23.840993771506458
2024-12-30 17:43:26.271871,39.2444010319351,52.98422423273327
2024-12-30 17:43:26.271887,41.15465671173876,42.87537363759895
2024-12-30 17:43:26.271901,27.665068404676507,40.628419961708374
2024-12-30 17:43:26.271913,65.61643106899953,93.7671700225718
2024-12-30 17:43:26.271923,36.84753502373837,0.9974722193528796
2024-12-30 17:43:26.271934,99.43608005542302,45.02148392906533
2024-12-30 17:43:26.271947,11.45199431506958,97.8646953617001
2024-12-30 17:43:26.271959,69.9716544176934,22.153570270896093
2024-12-30 17:43:26.271971,17.358512137433145,58.907515893974406
2024-12-30 17:43:26.271984,64.85655018168436,11.033324841475423
2024-12-30 17:43:26.272000,11.344504104025832,79.1901270123465
2024-12-30 17:43:26.272013,68.56366349824937,92.83258763570255
2024-12-30 17:43:26.272025,68.13488641929433,14.41874520532872
2024-12-30 17:43:26.272036,99.70397507215331,23.468652709194014
2024-12-30 17:43:26.272058,11.67850284426627,90.88922300332361
2024-12-30 17:43:26.272071,41.316165511879255,26.024988068572586
2024-12-30 17:43:26.272082,26.813170665365426,33.684368786207074
2024-12-30 17:43:26.272095,39.33993896180705,34.42942898033997
2024-12-30 17:43:26.272109,71.5565978364293,62.243835810744606
2024-12-30 17:43:26.272118,23.625375376363056,83.55355355416046
2024-12-30 17:43:26.272133,15.666310985636411,27.662808148385622
2024-12-30 17:43:26.272142,88.45855535128706,50.94102868898276
2024-12-30 17:43:26.272150,0.09360521114426534,31.620330634860984
